lab_x,lab_z,dial_x,dial_z
23.898758,-26.035507,29.949379,2.964493
23.898758,-24.627077,29.949379,4.372923
23.898758,-23.218393,29.949379,5.781607
23.898758,-21.809709,29.949379,7.190291
23.898758,-20.401025,29.949379,8.598975
23.898758,-18.992595,29.949379,10.007405
23.898758,-17.583911,29.949379,11.416089
23.898758,-16.175228,29.949379,12.824772
23.898758,-14.766544,29.949379,14.233456
23.898758,-13.358114,29.949379,15.641886
23.898758,-11.949430,29.949379,17.050570
23.898758,-10.540746,29.949379,18.459254
23.898758,-9.132062,29.949379,19.867938
23.898758,-7.723632,29.949379,21.276368
23.898758,-6.314948,29.949379,22.685052
23.898758,-4.906264,29.949379,24.093736
23.898758,-3.497580,29.949379,25.502420
23.898758,-2.089150,29.949379,26.910850
23.898758,-0.680466,29.949379,28.319534
23.898758,0.728218,29.949379,29.728218
23.898758,2.136902,29.949379,31.136902
23.898758,3.545332,29.949379,32.545332
23.898758,4.954016,29.949379,33.954016
23.898758,6.362700,29.949379,35.362700
23.898758,7.771384,29.949379,36.771384
23.898758,9.179814,29.949379,38.179814
23.898758,10.588498,29.949379,39.588498
21.834957,-30.261559,28.917479,-1.261559
21.834957,-28.852875,28.917479,0.147125
21.834957,-27.444191,28.917479,1.555809
21.834957,-26.035507,28.917479,2.964493
21.834957,-24.627077,28.917479,4.372923
21.834957,-23.218393,28.917479,5.781607
21.834957,-21.809709,28.917479,7.190291
21.834957,-20.401025,28.917479,8.598975
21.834957,-18.992595,28.917479,10.007405
21.834957,-17.583911,28.917479,11.416089
21.834957,-16.175228,28.917479,12.824772
21.834957,-14.766544,28.917479,14.233456
21.834957,-13.358114,28.917479,15.641886
21.834957,-11.949430,28.917479,17.050570
21.834957,-10.540746,28.917479,18.459254
21.834957,-9.132062,28.917479,19.867938
21.834957,-7.723632,28.917479,21.276368
21.834957,-6.314948,28.917479,22.685052
21.834957,-4.906264,28.917479,24.093736
21.834957,-3.497580,28.917479,25.502420
21.834957,-2.089150,28.917479,26.910850
21.834957,-0.680466,28.917479,28.319534
21.834957,0.728218,28.917479,29.728218
21.834957,2.136902,28.917479,31.136902
21.834957,3.545332,28.917479,32.545332
21.834957,4.954016,28.917479,33.954016
21.834957,6.362700,28.917479,35.362700
21.834957,7.771384,28.917479,36.771384
21.834957,9.179814,28.917479,38.179814
21.834957,10.588498,28.917479,39.588498
19.771156,-30.261559,27.885578,-1.261559
19.771156,-28.852875,27.885578,0.147125
19.771156,-27.444191,27.885578,1.555809
19.771156,-26.035507,27.885578,2.964493
19.771156,-24.627077,27.885578,4.372923
19.771156,-23.218393,27.885578,5.781607
19.771156,-21.809709,27.885578,7.190291
19.771156,-20.401025,27.885578,8.598975
19.771156,-18.992595,27.885578,10.007405
19.771156,-17.583911,27.885578,11.416089
19.771156,-16.175228,27.885578,12.824772
19.771156,-14.766544,27.885578,14.233456
